QP=36 | PSNR=43.55 | SSIM=0.9948 | size=169 B | ratio=0.0345 | reduction=96.55% | time=10.7278s
QP=42 | PSNR=40.99 | SSIM=0.9912 | size=99 B | ratio=0.0202 | reduction=97.98% | time=5.3633s
QP=48 | PSNR=35.25 | SSIM=0.9843 | size=62 B | ratio=0.0126 | reduction=98.74% | time=6.4688s
QP= 6 | PSNR=55.47 | SSIM=0.9998 | size=32.99 KB | ratio=1.4206 | reduction=-42.06% | time=9.9082s
QP=12 | PSNR=50.27 | SSIM=0.9995 | size=22.15 KB | ratio=0.9537 | reduction=4.63% | time=12.7163s
QP=18 | PSNR=45.06 | SSIM=0.9982 | size=13.45 KB | ratio=0.5790 | reduction=42.10% | time=15.2483s
QP=24 | PSNR=40.50 | SSIM=0.9942 | size=7.25 KB | ratio=0.3123 | reduction=68.77% | time=4.8667s
QP=30 | PSNR=36.23 | SSIM=0.9831 | size=3.45 KB | ratio=0.1485 | reduction=85.15% | time=7.9031s
QP=36 | PSNR=32.40 | SSIM=0.9557 | size=1.43 KB | ratio=0.0614 | reduction=93.86% | time=9.8090s
QP=42 | PSNR=29.35 | SSIM=0.9009 | size=503 B | ratio=0.0212 | reduction=97.88% | time=7.8086s
QP=48 | PSNR=27.04 | SSIM=0.8085 | size=156 B | ratio=0.0066 | reduction=99.34% | time=10.6891s
QP= 6 | PSNR=57.07 | SSIM=0.9998 | size=22.73 KB | ratio=1.3611 | reduction=-36.11% | time=12.3099s
QP=12 | PSNR=51.78 | SSIM=0.9994 | size=14.18 KB | ratio=0.8494 | reduction=15.06% | time=12.1293s
QP=18 | PSNR=46.67 | SSIM=0.9980 | size=7.74 KB | ratio=0.4636 | reduction=53.64% | time=1.8236s
QP=24 | PSNR=42.67 | SSIM=0.9941 | size=4.02 KB | ratio=0.2407 | reduction=75.93% | time=12.9307s
QP=30 | PSNR=38.77 | SSIM=0.9829 | size=1.94 KB | ratio=0.1163 | reduction=88.37% | time=9.8136s
QP=36 | PSNR=35.08 | SSIM=0.9549 | size=839 B | ratio=0.0491 | reduction=95.09% | time=1.1158s
QP=42 | PSNR=31.70 | SSIM=0.9042 | size=256 B | ratio=0.0150 | reduction=98.50% | time=10.2588s
QP=48 | PSNR=29.83 | SSIM=0.8549 | size=109 B | ratio=0.0064 | reduction=99.36% | time=5.3046s
QP= 6 | PSNR=66.37 | SSIM=1.0000 | size=3.35 KB | ratio=1.4840 | reduction=-48.40% | time=0.8871s
QP=12 | PSNR=62.30 | SSIM=1.0000 | size=2.63 KB | ratio=1.1670 | reduction=-16.70% | time=8.0649s
QP=18 | PSNR=56.80 | SSIM=0.9999 | size=2.13 KB | ratio=0.9438 | reduction=5.62% | time=8.8182s
QP=24 | PSNR=50.92 | SSIM=0.9994 | size=1.73 KB | ratio=0.7660 | reduction=23.40% | time=9.3194s
QP=30 | PSNR=43.86 | SSIM=0.9968 | size=1.23 KB | ratio=0.5437 | reduction=45.63% | time=1.6325s
QP=36 | PSNR=37.81 | SSIM=0.9855 | size=473 B | ratio=0.2046 | reduction=79.54% | time=8.6806s
QP=42 | PSNR=34.33 | SSIM=0.9570 | size=128 B | ratio=0.0554 | reduction=94.46% | time=5.4662s
